Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1324.20,6.24,26384.85,1.47,7.56,13.17,84.89,1614302.06,5.46,18.31,1.82,1.44,3.11,53.18,213578.92,1.44,-2.53,60.81,101321.25,8.43,0.80,-47.65,54.14,1.18,8.43,1.82,132538.24,57.87,-0.01,132538.24,76694.75,29673.71,106368.46,0.00,106368.46,74074.99,32293.47,0.00,621.63,0.00,212957.29,220686.75,1170920.89,1946050.29,210479.91,115914.69,76694.75,74074.99,0.00,106368.46,26547.91,-8636.71,-10796.69,-45917.30,60357.67,411576.04
Aye Finance,544699,AYE,INE501X01029,Finance,Non Banking Financial Company (NBFC),148.42,11.32,193.63,2.74,2.00,9.24,7.85,5065.10,10.12,9.56,8.64,1.46,2.02,-3.11,2532.71,1.46,-1.82,26.16,1136.89,2.79,1.94,-2.71,42.68,0.00,2.79,8.64,1814.73,41.83,,1814.73,759.17,48.51,807.68,26.31,781.37,534.07,247.30,0.00,48.90,0.00,2483.81,4346.89,207.85,7772.94,1215.82,140.66,759.17,534.07,26.31,781.37,193.63,-1354.64,-1366.03,-125.36,1169.22,3666.58
AYM Syntex,508933,AYMSYNTEX,INE193B01039,Textiles & Apparels,Other Textile Products,219.10,8.36,-0.43,1.23,0.41,2.53,-0.07,238.20,2.19,15.61,1.13,1.02,0.95,44.13,574.89,1.02,0.05,20.46,597.69,1.78,4.09,11.92,870.40,0.00,1.78,0.53,1359.97,6.34,-0.04,1489.00,119.85,4.30,125.86,62.01,63.85,42.77,19.37,-1.71,58.58,0.00,516.31,140.78,61.01,1077.29,494.22,436.93,86.23,32.82,63.25,33.59,-0.43,108.08,34.39,-68.89,-28.12,1288.19
Azad India,504731,,INE566M01017,Industrial Products,Iron & Steel Products,105.50,-0.28,1.06,0.05,0.01,0.08,0.21,0.65,0.20,423.69,18.54,36.33,8.81,,128.30,36.33,,21.67,128.71,0.93,9.65,-11.25,870.26,0.00,0.93,16.02,65.21,0.46,0.00,9.03,-1.07,1.03,-0.04,0.11,-0.15,0.03,-0.18,0.00,54.44,0.00,73.86,0.00,2.64,135.69,124.96,6.74,0.30,0.03,0.19,1.09,1.06,-51.04,-51.04,0.89,10.70,574.37
B H E L,500103,BHEL,INE257A01026,Electrical Equipment,Heavy Electrical Equipment,348.58,4.87,814.24,0.81,0.45,2.12,2.34,10969.31,1.51,56.75,1.45,2.47,3.98,-124.11,24399.95,2.47,-0.03,20.55,17578.93,2.60,3.92,55.38,310.94,32.61,2.60,1.06,30465.18,4.66,-5.00,28339.48,1399.32,524.32,1904.42,271.96,1632.46,906.08,745.60,19.22,696.41,0.00,23703.54,8795.00,219.60,71972.29,46437.55,32091.73,1420.77,760.32,312.99,1875.76,814.24,2191.89,1923.81,-2730.91,-856.81,121392.16
B&B Triplewall,543668,BBTCL,INE01EE01011,Industrial Products,Packaging,206.00,2.98,9.72,-1.55,1.87,-4.79,4.74,221.04,5.65,8.10,1.12,1.52,0.71,-9.71,99.57,1.52,,-36.18,240.37,3.53,3.87,18.43,85.53,0.00,3.53,0.64,595.58,13.11,0.00,491.76,39.99,0.97,40.96,31.13,9.83,17.66,-7.83,0.00,2.05,0.52,97.52,139.58,99.71,400.95,169.80,152.06,78.08,23.40,43.57,35.67,8.82,22.92,-15.68,-37.84,15.24,422.53
Baazar Style,544243,STYLEBAAZA,INE01FR01028,Retailing,Speciality Retail,390.90,8.94,25.63,1.49,1.91,7.05,8.86,871.64,3.09,13.99,1.02,1.43,1.69,-265.42,456.92,1.43,-0.24,59.13,952.23,3.62,4.25,55.20,146.73,0.00,3.62,0.26,1721.27,14.91,0.00,1343.55,192.48,-4.57,201.47,99.89,101.58,69.03,18.99,-13.56,37.31,0.00,419.61,122.79,873.34,1745.57,750.69,738.96,256.67,80.79,151.76,115.61,66.13,52.77,-49.98,-102.82,54.12,2912.66
Baheti Recycling,,BAHETI,INE029Q01017,Industrial Products,"Aluminium, Copper & Zinc Products",595.70,21.82,20.26,8.68,2.97,35.63,19.54,203.38,5.35,18.05,1.23,2.54,1.06,-25.33,68.39,2.54,-0.38,11.29,79.10,3.50,5.71,-27.21,66.63,0.00,3.50,0.49,582.26,7.80,0.18,523.84,40.64,0.22,40.79,1.46,39.33,15.29,24.11,0.07,10.37,0.00,58.02,132.69,25.48,329.37,304.58,247.80,45.41,17.28,1.58,43.89,20.26,-22.70,-27.68,-4.97,27.75,617.65
Bai-Kakaji Poly.,544670,,INE1IJQ01026,Consumer Durables,Plastic Products - Consumer,182.00,26.38,18.37,12.18,2.03,41.23,81.64,109.27,6.33,12.46,0.68,5.60,1.20,-26.90,53.74,5.60,,5.95,62.70,2.81,5.29,33.21,,0.00,2.81,0.36,325.47,10.38,0.52,325.47,33.79,6.19,39.98,8.45,31.53,5.63,25.90,0.00,2.25,0.00,51.49,90.49,18.78,203.69,86.34,127.81,33.79,5.63,8.45,31.53,18.37,11.73,-54.46,-75.48,64.20,389.56
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),921.80,11.35,18209.48,3.99,3.85,19.22,29.00,397400.93,5.43,18.05,2.77,1.87,7.23,-9.41,103213.59,1.87,-0.85,23.68,15394.60,4.35,2.60,-8.42,138.14,20.90,4.35,2.77,79373.52,66.91,0.00,69709.44,47955.15,-2.35,47988.30,880.99,47107.31,24992.18,22079.63,-35.50,621.63,0.00,102591.96,250386.87,110861.78,509960.76,18151.32,6541.85,53111.16,27819.65,1005.47,52139.06,18324.63,-68154.47,-69199.90,-2765.02,70527.44,573970.75
