company,report_date,bs_borrowings,bs_capital_work_in_progress,bs_cash_bank,bs_equity_share_capital,bs_face_value,bs_inventory,bs_investments,bs_net_block,bs_no_of_equity_shares,bs_other_assets,bs_other_liabilities,bs_receivables,bs_reserves,bs_total,cf_cash_from_financing_activity,cf_cash_from_investing_activity,cf_cash_from_operating_activity,cf_net_cash_flow,pl_change_in_inventory,pl_depreciation,pl_dividend_amount,pl_employee_cost,pl_interest,pl_net_profit,pl_other_expenses,pl_other_income,pl_other_mfr_exp,pl_power_and_fuel,pl_profit_before_tax,pl_raw_material_cost,pl_sales,pl_selling_and_admin,pl_tax,status_group,source_file,fy,bs_new_bonus_shares
Enkei Wheels,2023-12-31,166.65,2.45,11.73,8.99,5.0,62.68,3.91,343.8,17974895.0,183.39,133.65,84.64,224.26,533.55,1.52,-55.82,58.51,4.21,-6.68,41.55,,47.37,11.39,11.7,0.01,7.72,100.64,61.63,16.05,400.96,716.14,37.58,4.36,distressed,Enkei Wheels.xlsx,2023,
Enkei Wheels,2024-12-31,206.33,42.85,6.68,8.99,5.0,79.75,3.43,313.89,17974895.0,203.57,121.97,93.16,226.45,563.74,29.69,-62.81,28.03,-5.09,-7.46,50.87,,51.94,14.6,2.66,0.28,5.85,102.51,74.19,2.23,502.3,844.46,43.93,-0.43,distressed,Enkei Wheels.xlsx,2024,
Enkei Wheels,2025-12-31,210.04,1.22,7.49,8.99,5.0,114.24,3.91,323.31,17974895.0,276.58,155.31,123.59,230.68,605.02,-15.37,-33.52,43.7,-5.19,31.49,57.74,,57.29,22.57,5.13,0.19,-2.31,114.54,79.8,6.73,611.93,971.63,50.02,1.59,distressed,Enkei Wheels.xlsx,2025,
Federal-Mogul Go,2016-03-31,181.23,32.05,62.84,55.63,10.0,206.24,,540.03,55632130.0,542.64,423.33,191.74,454.53,1114.72,-45.54,-114.52,191.76,31.7,-2.41,78.44,31.15,290.08,26.39,47.6,18.37,18.47,157.73,85.6,91.17,451.0,1329.29,146.57,36.19,distressed,Federal-Mogul Go.xlsx,2016,
Federal-Mogul Go,2017-03-31,83.33,47.87,28.8,55.63,10.0,191.46,0.03,533.57,55632130.0,498.58,383.58,192.12,557.51,1080.05,-100.25,-86.32,159.31,-27.26,-9.17,79.32,,279.67,17.19,83.74,28.39,11.33,178.54,85.56,130.05,385.24,1279.08,97.28,46.31,distressed,Federal-Mogul Go.xlsx,2017,
Federal-Mogul Go,2018-03-31,24.53,34.89,15.02,55.63,10.0,190.78,0.03,553.96,55632130.0,500.17,360.65,219.15,648.24,1089.05,-69.07,-72.12,137.87,-3.31,-9.54,77.02,,292.88,7.45,88.32,20.98,10.93,176.68,92.02,154.65,381.38,1325.34,123.67,58.47,distressed,Federal-Mogul Go.xlsx,2018,
Federal-Mogul Go,2019-03-31,23.01,28.29,34.88,55.63,10.0,217.62,0.07,578.45,55632130.0,563.28,352.71,237.78,738.74,1170.09,-8.29,-120.86,133.25,4.09,28.87,85.77,,306.02,5.94,87.41,19.8,13.54,184.18,89.21,148.95,435.26,1341.83,109.11,53.46,distressed,Federal-Mogul Go.xlsx,2019,
Federal-Mogul Go,2020-03-31,1.47,42.35,124.06,55.63,10.0,195.08,0.07,554.95,55632130.0,578.0,356.17,196.17,762.1,1175.37,-32.43,-81.15,191.44,77.86,-21.6,92.77,,293.28,4.1,32.5,20.83,11.42,137.15,73.06,46.65,320.59,1085.41,86.8,7.93,distressed,Federal-Mogul Go.xlsx,2020,
Federal-Mogul Go,2021-03-31,9.61,28.65,213.02,55.63,10.0,186.64,0.07,546.77,55632130.0,743.43,488.59,264.74,765.09,1318.92,-8.42,-20.02,152.39,123.95,-17.58,83.56,,297.62,3.14,0.53,20.21,-33.07,141.81,70.75,7.9,350.72,1107.16,80.8,2.95,distressed,Federal-Mogul Go.xlsx,2021,
Federal-Mogul Go,2022-03-31,8.93,48.47,185.99,55.63,10.0,185.71,1.56,528.28,55632130.0,762.13,455.68,266.17,820.2,1340.44,-7.59,-130.1,110.67,-27.02,-8.23,87.06,,325.25,5.02,54.04,15.88,6.61,174.18,84.54,80.57,476.48,1342.62,92.02,21.75,distressed,Federal-Mogul Go.xlsx,2022,
Federal-Mogul Go,2023-03-31,8.3,85.32,330.04,55.63,10.0,195.73,1.57,507.66,55632130.0,892.7,499.32,272.36,924.0,1487.25,-7.9,-58.43,210.39,144.05,1.85,83.67,,344.42,4.92,100.87,16.69,18.29,207.09,97.82,141.05,651.91,1634.14,106.71,33.67,distressed,Federal-Mogul Go.xlsx,2023,
Federal-Mogul Go,2024-03-31,7.87,55.26,418.17,55.63,10.0,193.32,1.65,533.9,55632130.0,998.92,471.56,283.18,1054.67,1589.73,-9.89,-61.74,159.75,88.13,0.91,84.62,,375.66,5.63,126.88,7.58,28.16,205.01,107.76,180.84,630.53,1695.59,127.03,47.48,distressed,Federal-Mogul Go.xlsx,2024,
Federal-Mogul Go,2025-03-31,3.03,24.08,610.17,55.63,10.0,186.39,1.78,515.69,55632130.0,1219.1,489.68,333.61,1212.31,1760.65,-11.78,-16.92,220.69,191.99,2.08,87.49,,395.5,6.69,162.03,5.56,35.54,202.95,111.96,234.87,661.73,1800.19,131.06,64.99,distressed,Federal-Mogul Go.xlsx,2025,
Fiem Industries,2016-03-31,140.03,11.59,4.52,11.96,10.0,66.13,0.03,415.94,11962226.0,231.21,245.6,118.6,261.18,658.77,-12.73,-108.1,121.91,1.08,6.69,33.12,9.57,127.35,15.78,57.33,-0.72,1.04,67.3,37.88,79.37,578.94,986.53,55.24,22.03,healthy,Fiem Industries.xlsx,2016,
Fiem Industries,2017-03-31,225.23,5.63,23.06,13.16,10.0,102.42,86.38,479.22,13159830.0,298.27,234.15,119.45,396.96,869.5,173.2,-197.56,45.57,21.22,20.43,39.23,10.53,145.89,23.25,33.05,1.9,-9.48,71.59,41.56,45.65,607.32,1014.63,49.19,12.6,healthy,Fiem Industries.xlsx,2017,
Fiem Industries,2018-03-31,158.67,6.92,2.2,13.16,10.0,140.27,19.45,553.79,13159830.0,355.22,327.37,144.34,436.18,935.38,-101.53,-44.31,124.68,-21.16,22.87,44.33,11.84,177.09,22.72,52.56,2.04,7.9,78.19,47.33,81.63,762.58,1239.72,54.58,29.03,healthy,Fiem Industries.xlsx,2018,
Fiem Industries,2019-03-31,171.44,11.49,4.46,13.16,10.0,147.24,25.36,564.34,13159830.0,361.63,314.23,146.8,463.99,962.82,-38.09,-80.49,121.02,2.44,4.92,48.93,15.79,196.47,22.1,55.65,2.45,0.99,77.8,53.13,87.0,905.48,1449.02,61.57,30.36,healthy,Fiem Industries.xlsx,2019,
Fiem Industries,2020-03-31,126.54,0.25,47.54,13.16,10.0,129.09,21.24,590.62,13159830.0,308.38,268.63,76.98,512.16,920.49,-118.08,-46.5,207.33,42.74,-23.95,53.2,17.11,198.49,17.67,74.56,1.94,0.83,72.94,49.67,86.86,816.23,1379.44,59.32,8.17,healthy,Fiem Industries.xlsx,2020,
