Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
T N Petro Prod.,500777,TNPETRO,INE148A01019,Chemicals & Petrochemicals,Petrochemicals,90.65,6.97,107.66,3.70,0.33,5.10,12.92,323.74,18.36,4.72,1.85,12.32,0.46,-46.72,977.26,12.32,0.56,5.55,1175.32,1.34,3.39,3.96,41.16,18.50,1.34,1.48,1796.43,8.10,0.00,1826.78,64.25,45.84,92.36,25.26,67.10,6.26,78.57,17.73,89.97,0.00,887.29,120.43,14.97,1586.83,713.48,385.05,145.57,12.63,25.00,155.65,116.25,206.60,-180.09,-244.41,100.37,818.28
T R I L,532928,TARIL,INE763I01026,Electrical Equipment,Heavy Electrical Equipment,342.65,23.30,264.39,11.22,0.30,19.11,8.81,456.65,3.90,23.89,1.82,8.11,4.10,-111.98,1514.83,8.11,-0.01,1.68,1230.31,1.60,8.81,-97.68,115.29,2.84,1.60,1.22,2508.80,15.27,0.00,2508.80,383.18,60.85,444.03,29.91,414.12,51.08,363.04,0.00,30.02,0.00,1484.81,176.24,106.56,2665.72,1873.87,1032.30,383.18,51.08,29.91,414.12,272.17,-105.38,-214.78,-7.39,115.61,10293.13
T T,514142,TTL,INE592B01024,Textiles & Apparels,Other Textile Products,8.05,1.49,-4.50,-3.16,0.58,-8.57,-0.17,73.19,3.62,24.05,2.82,1.21,1.05,6.50,125.71,1.21,0.04,17.85,150.71,2.43,3.84,666.68,-206.67,27.44,2.43,1.45,196.92,4.48,0.72,214.43,2.69,18.47,4.13,1.30,2.83,9.77,10.09,17.03,25.83,0.00,99.88,53.18,36.08,219.32,136.69,48.55,8.82,8.28,1.55,10.06,-4.50,0.31,35.02,34.54,-34.77,206.67
T.V. Today Netw.,532515,TVTODAY,INE038F01029,Entertainment,TV Broadcasting & Software Production,113.20,12.45,23.33,6.57,0.02,8.44,1.91,16.74,6.64,8.49,3.34,19.82,0.80,17.88,883.46,19.82,0.93,0.22,770.92,1.27,3.53,5.54,159.28,24.01,1.27,3.34,845.65,3.24,0.00,993.02,99.78,37.82,145.09,32.24,112.85,2.42,102.94,-7.49,29.83,0.00,853.63,0.00,20.65,1074.73,596.43,178.79,27.38,2.01,30.46,39.83,11.38,121.59,105.82,-74.15,-61.44,673.77
TAAL Tech,539956,TAALTECH,INE524T01011,Transport Services,Airline,3000.00,32.73,51.43,21.32,0.01,24.34,165.90,2.47,7.81,12.08,9.91,163.67,5.09,31.12,222.62,163.67,0.30,0.05,221.74,1.02,10.01,22.96,83.27,15.99,1.02,9.91,185.08,30.22,0.00,185.14,58.81,14.17,67.23,5.53,61.70,0.81,66.64,5.75,3.12,0.00,219.50,0.00,3.95,249.54,241.74,24.39,55.93,0.43,4.26,70.38,51.70,41.02,39.40,-32.41,-11.38,941.82
TajGVK Hotels,532390,TAJGVK,INE586B01026,Leisure Services,Hotels & Resorts,331.75,20.29,125.32,13.81,0.12,19.49,19.99,82.61,6.69,13.69,1.21,27.13,4.39,25.71,690.88,27.13,0.17,0.70,639.66,1.30,5.45,17.93,56.32,10.70,1.30,1.15,474.69,29.68,0.00,449.68,139.04,11.61,150.68,13.20,137.48,8.85,128.60,-0.03,12.54,0.00,678.34,0.00,44.01,967.20,174.48,143.73,140.90,5.15,12.81,139.71,125.32,116.17,75.46,-18.82,-84.29,2083.32
Talbros Auto.,505160,TALBROAUTO,INE187D01029,Auto Components,Auto Components & Equipments,296.00,19.31,99.08,10.31,0.13,15.93,16.05,86.01,7.46,10.90,1.80,10.09,2.18,97.16,681.34,10.09,0.22,0.91,465.57,1.43,5.38,22.83,67.16,4.58,1.43,1.31,839.36,15.55,0.00,827.05,129.59,35.42,163.42,31.88,131.54,13.70,119.43,1.59,12.35,0.00,668.99,81.42,12.40,1010.66,501.86,278.31,130.48,13.70,32.18,138.22,99.08,80.02,29.37,-44.65,-22.88,1826.69
Talbros Engg.,538987,,INE717E01013,Auto Components,Auto Components & Equipments,635.00,14.51,24.93,6.40,0.78,13.82,49.11,129.62,10.37,7.69,1.13,3.61,0.62,-75.08,165.32,3.61,-0.17,6.43,214.48,2.03,4.14,9.37,43.04,0.00,2.03,0.63,516.95,10.97,0.00,446.09,49.60,0.61,50.03,11.25,38.78,11.76,27.20,0.18,5.08,0.00,160.24,107.75,24.34,347.84,139.62,123.15,56.72,12.96,11.91,46.84,24.93,34.42,7.76,-26.55,-7.79,322.36
Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,2506.70,41.76,74.84,23.90,0.09,32.05,37.42,31.49,2.07,41.75,2.06,22.12,7.25,-397.89,339.57,22.12,0.03,0.36,342.07,1.17,20.90,152.28,321.19,10.19,1.17,1.21,689.94,17.03,0.00,556.98,131.05,2.96,132.36,10.46,121.90,4.79,118.76,1.65,9.98,0.00,329.59,1.43,40.00,462.01,237.46,115.00,117.48,4.68,16.52,103.51,74.84,32.84,-64.04,-41.69,31.85,5000.87
Tanla Platforms,532790,TANLA,INE483C01032,IT - Software,Software Products,582.95,26.22,509.15,14.41,0.02,21.41,38.39,52.71,9.52,8.82,2.30,145.51,1.75,16.27,2488.00,145.51,0.34,0.10,2360.44,1.42,6.49,13.45,57.49,31.25,1.42,2.30,4417.71,16.38,0.00,4417.71,723.74,37.27,761.01,122.21,638.80,4.39,634.41,0.00,13.26,0.00,2474.74,0.00,64.05,3730.02,2744.61,1194.48,723.74,4.39,122.21,638.80,509.15,574.19,476.79,47.50,-375.19,7721.39
